id,start_lat,start_lon,end_lat,end_lon
3996,116.54556,39.86901,116.57642,39.86779
3997,116.67813,39.66231,116.77335,39.59584
3998,116.51959,39.80898,116.56665,39.75473
3999,116.56665,39.75473,116.67576,39.66432
4000,116.45384,39.86228,116.47554,39.84488
4001,116.47766,39.84283,116.5,39.82299
4002,116.50173,39.82177,116.51959,39.80898
4003,116.77339,39.5958,116.77967,39.58968
4004,116.7881,39.58333,116.77538,39.59396
4005,116.67998,39.66107,116.57337,39.74829
4006,116.51919,39.81048,116.51311,39.81467
4007,116.57337,39.74829,116.52105,39.80883
4008,116.48113,39.8397,116.45639,39.86139
4009,116.51023,39.81651,116.4821,39.83879
4010,116.77436,39.59502,116.68157,39.65982
4011,116.62545,39.79904,116.69455,39.74215
4012,116.59795,39.81677,116.62545,39.79904
4013,116.58175,39.82894,116.59795,39.81677
4014,116.53834,39.84158,116.58175,39.82894
4015,116.81449,39.64073,116.875,39.6155
4016,116.69455,39.74215,116.81449,39.64073
4017,116.84162,39.62897,116.71659,39.72574
4018,116.63284,39.79356,116.60084,39.81586
4019,116.59785,39.81809,116.58976,39.82353
4020,116.58189,39.82911,116.55021,39.84268
4021,116.7134,39.72821,116.63498,39.79144
4022,116.34675,39.85338,116.34668,39.85286
4023,116.32479,39.56162,116.32486,39.53497
4024,116.33139,39.70395,116.32507,39.56234
4025,116.34668,39.85286,116.34574,39.83532
4026,116.34577,39.83377,116.34674,39.79807
4027,116.34255,39.77873,116.33139,39.70395
4028,116.34713,39.7965,116.34511,39.78319
4029,116.32498,39.53427,116.32493,39.53454
4030,116.32682,39.61041,116.32941,39.69721
4031,116.32941,39.69721,116.34165,39.77278
4032,116.34621,39.8473,116.34693,39.85313
4033,116.34599,39.8293,116.34621,39.8473
4034,116.34277,39.77872,116.34776,39.79776
4035,116.34776,39.79776,116.34579,39.8263
4036,116.32526,39.5343,116.32701,39.60897
4037,116.34151,39.77605,116.34132,39.77263
4038,116.32678,39.59009,116.32606,39.58333
4039,116.32513,39.6209,116.32542,39.61767
4040,116.34643,39.79884,116.34815,39.79026
4041,116.34815,39.79012,116.3429,39.78071
4042,116.32476,39.67459,116.32406,39.67061
4043,116.34578,39.73041,116.34589,39.72856
4044,116.3425,39.76304,116.34307,39.75865
4045,116.34506,39.80957,116.34643,39.79884
4046,116.34311,39.75848,116.3447,39.74255
4047,116.34177,39.76685,116.34249,39.76315
4048,116.34497,39.72221,116.34402,39.71871
4049,116.32872,39.70145,116.32898,39.69166
4050,116.34285,39.71586,116.33009,39.70258
4051,116.32421,39.54226,116.32472,39.53285
4052,116.34549,39.83466,116.34459,39.83208
4053,116.34389,39.83163,116.34391,39.83057
4054,116.32473,39.63341,116.325,39.63024
4055,116.34482,39.82251,116.34502,39.81018
4056,116.3448,39.74116,116.34569,39.7319
4057,116.32533,39.67839,116.32479,39.6747
4058,116.34589,39.72856,116.34593,39.7273
4059,116.32405,39.6705,116.32391,39.66682
4060,116.32898,39.6913,116.32856,39.68826
4061,116.32542,39.61767,116.32705,39.60549
4062,116.325,39.63015,116.32513,39.6209
4063,116.32391,39.66673,116.32306,39.64628
4064,116.32577,39.58201,116.32544,39.56611
4065,116.3429,39.78071,116.34143,39.77619
4066,116.32516,39.56434,116.32407,39.54935
4067,116.32306,39.64628,116.32471,39.63351
4068,116.34132,39.77263,116.34177,39.76685
4069,116.34584,39.72586,116.345,39.72233
4070,116.32705,39.60549,116.32704,39.59322
4071,116.32812,39.68695,116.32714,39.68479
4072,116.32512,39.68139,116.32536,39.67858
4073,116.32714,39.68479,116.32513,39.6815
4074,116.34541,39.82864,116.34482,39.82251
4075,116.34559,39.84683,116.34557,39.83639
4076,116.34251,39.77627,116.34582,39.78362
4077,116.32616,39.56788,116.32615,39.57376
4078,116.34443,39.75319,116.34396,39.75832
4079,116.3459,39.80588,116.3454,39.82214
4080,116.34805,39.78734,116.34874,39.79011
4081,116.34816,39.79796,116.34791,39.79866
4082,116.34805,39.78734,116.34582,39.78362
4083,116.34643,39.80298,116.34665,39.80186
4084,116.34622,39.80402,116.34643,39.80298
4085,116.34563,39.72285,116.34604,39.72444
4086,116.34769,39.79902,116.34685,39.80092
4087,116.34465,39.71861,116.3454,39.72188
4088,116.34308,39.76341,116.34256,39.76796
4089,116.34618,39.83958,116.34633,39.84619
4090,116.34509,39.74406,116.34443,39.75319
4091,116.34317,39.76267,116.34315,39.76286
4092,116.325,39.55194,116.32604,39.56567
4093,116.32661,39.582,116.32782,39.59258
4094,116.32516,39.63375,116.32455,39.66667
4095,116.34629,39.72857,116.3461,39.73184
4096,116.34839,39.83148,116.34618,39.83949
4097,116.34874,39.79042,116.34801,39.79579
4098,116.34549,39.82272,116.34645,39.82837
4099,116.32576,39.62113,116.32523,39.63332
4100,116.34519,39.74256,116.3451,39.74383
4101,116.34207,39.77482,116.34235,39.77607
4102,116.34634,39.7258,116.34629,39.72857
4103,116.34609,39.73191,116.34592,39.73458
4104,116.3296,39.69167,116.34241,39.71428
4105,116.34575,39.73629,116.34527,39.74126
4106,116.32456,39.66692,116.32958,39.6913
4107,116.32789,39.59311,116.32755,39.60676
4108,116.32713,39.61102,116.32579,39.62064
4109,116.34633,39.84619,116.34647,39.84715
4110,116.05084,39.87775,116.03144,39.878
4111,115.89355,39.81889,115.85382,39.82161
4112,115.63434,39.74587,115.5567,39.78327
4113,116.09891,39.8757,116.05084,39.87775
4114,115.90168,39.81855,115.89355,39.81889
4115,115.82935,39.82267,115.78818,39.80551
4116,115.95802,39.82257,115.9245,39.81374
4117,115.85382,39.82161,115.85221,39.82263
4118,115.78519,39.80358,115.69627,39.72936
4119,115.85081,39.82245,115.83462,39.82073
4120,116.16292,39.88719,116.10868,39.89406
4121,115.69436,39.73133,115.63677,39.74554
4122,116.03029,39.87829,115.95949,39.8231
4123,115.92375,39.81359,115.90168,39.81855
4124,115.5567,39.78327,115.437,39.77745
4125,116.10754,39.89394,116.0993,39.87575
4126,116.0986,39.8765,116.10671,39.89327
4127,116.05203,39.87827,116.09829,39.87601
4128,115.43766,39.77768,115.5504,39.78259
4129,116.125,39.88667,116.16376,39.88711
4130,115.63545,39.74566,115.69485,39.72929
4131,115.90315,39.82051,115.92155,39.81331
4132,115.83018,39.82251,115.85221,39.82263
4133,115.95802,39.82257,116.02942,39.87798
4134,115.86238,39.81623,115.89355,39.81889
4135,115.78521,39.8036,115.83018,39.82251
4136,115.85221,39.82263,115.85382,39.82161
4137,115.69485,39.72929,115.78521,39.8036
4138,116.10877,39.89368,116.12377,39.88685
4139,116.0316,39.87754,116.04807,39.87709
4140,115.92375,39.81359,115.9558,39.82263
4141,115.55999,39.78262,115.63545,39.74566
4142,116.21885,39.76431,116.22239,39.7652
4143,116.19817,39.76403,116.19324,39.76409
4144,116.18888,39.76448,116.17307,39.77051
4145,116.30586,39.78414,116.30057,39.78127
4146,116.3132,39.78864,116.30705,39.78486
4147,116.32105,39.79355,116.3142,39.78927
4148,116.3412,39.80613,116.33505,39.8023
4149,116.33387,39.80158,116.32862,39.79829
4150,116.34546,39.81041,116.34386,39.80781
4151,116.16923,39.77247,116.15862,39.77489
4152,116.21722,39.76427,116.20557,39.76396
4153,116.2879,39.77534,116.27705,39.77097
4154,116.29469,39.77853,116.29053,39.77656
4155,116.26977,39.76982,116.25785,39.76964
